.species.name,tax.id,phage.nonphage,source,source.version,acc,n_clstr,nt,perc_id_to_rep,is_rep
Mycobacterium virus Microwolf,1034140,phage,NCBI Refseq,209,NC_042311,1,50864,96.6,FALSE
Mycobacterium virus Packman,1034142,phage,NCBI Refseq,209,NC_042314,3706,51339,100,TRUE
Mycobacterium phage Phipps,1034143,phage,NCBI Refseq,209,NC_028942,4073,68293,100,TRUE
Mycobacterium phage Rockstar,1034144,phage,NCBI Refseq,209,NC_042036,702,47780,100,TRUE
Mycobacterium virus RockyHorror,1034145,phage,NCBI Refseq,209,NC_042315,3545,56719,100,TRUE
Mycobacterium phage Send513,1034146,phage,NCBI Refseq,209,NC_042033,4053,71547,100,TRUE
Mycobacterium phage Vortex,1034149,phage,NCBI Refseq,209,NC_028801,4083,68346,100,TRUE
Mycobacterium virus Yoshi,1034150,phage,NCBI Refseq,209,NC_042030,4240,58714,100,TRUE
Mycobacterium phage Zemanar,1034151,phage,NCBI Refseq,209,NC_042035,4067,71092,100,TRUE
Mycobacterium virus Anaya,1034152,phage,NCBI Refseq,209,NC_042031,4299,60835,100,TRUE
Mycobacterium phage OSmaximus,1035482,phage,NCBI Refseq,209,NC_028803,4105,69118,100,TRUE
Mycobacterium phage Toto,1035485,phage,NCBI Refseq,209,NC_028906,2525,75933,100,TRUE
Bdellovibrio phage phi1402,1035662,phage,NCBI Refseq,209,NC_015721,1621,23931,100,TRUE
Mycobacterium virus Mrgordo,1036613,phage,NCBI Refseq,209,NC_042329,3694,50988,100,TRUE
Mycobacterium virus Mutaforma13,1036614,phage,NCBI Refseq,209,NC_041847,3479,57701,100,TRUE
Mycobacterium phage Shauna1,1036615,phage,NCBI Refseq,209,NC_041989,4191,59315,100,TRUE
Mycobacterium phage ShiLan,1036616,phage,NCBI Refseq,209,NC_041988,4367,59794,100,TRUE
Enterobacteria phage phiP27,103807,phage,NCBI Refseq,209,NC_003356,543,42575,100,TRUE
Mycobacterium virus Ericb,1041406,phage,NCBI Refseq,209,NC_042330,3606,51702,100,TRUE
Escherichia phage K30,1041524,phage,NCBI Refseq,209,NC_015719,428,40940,100,TRUE
Staphylococcus phage S25-3,1041526,phage,NCBI Refseq,209,NC_022920,3129,139738,100,TRUE
Staphylococcus phage S25-4,1041527,phage,NCBI Refseq,209,NC_022918,2383,132123,100,TRUE
Mycobacterium virus Benedict,1041807,phage,NCBI Refseq,209,NC_042331,3678,51083,100,TRUE
Clostridium phage phiCP13O,1042122,phage,NCBI Refseq,209,NC_019506,2121,38329,100,TRUE
Clostridium phage phiCP34O,1042123,phage,NCBI Refseq,209,NC_019508,2125,38309,100,TRUE
Cyanophage S-TIM4,1048189,phage,NCBI Refseq,209,NC_048015,2946,176495,100,TRUE
Escherichia phage phiEB49,1048207,phage,NCBI Refseq,209,NC_023743,1091,47180,100,TRUE
Acinetobacter phage ZZ1,1049283,phage,NCBI Refseq,209,NC_018087,2892,166687,100,TRUE
Mycobacterium virus Doom,1051138,phage,NCBI Refseq,209,NC_023704,3709,51421,100,TRUE
Mycobacterium virus Euphoria,1051140,phage,NCBI Refseq,209,NC_023726,3412,53597,100,TRUE
Mycobacterium virus JAWS,1051143,phage,NCBI Refseq,209,NC_042332,4371,59749,100,TRUE
Chlamydia phage 2,105154,phage,NCBI Refseq,209,NC_002194,1511,4563,100,TRUE
Streptococcus phage YMC-2011,1051631,phage,NCBI Refseq,209,NC_018285,1876,40758,100,TRUE
Erwinia phage vB_EamP-L1,1051673,phage,NCBI Refseq,209,NC_019510,1729,39282,100,TRUE
Erwinia phage vB_Eam-MM7,1051674,phage,NCBI Refseq,209,NC_041978,2769,84694,100,TRUE
Erwinia phage vB_EamP-S6,1051675,phage,NCBI Refseq,209,NC_019514,2648,74669,100,TRUE
Erwinia phage vB_EamM-Y2,1051676,phage,NCBI Refseq,209,NC_019504,3537,56621,100,TRUE
Escherichia phage Bp7,1052121,phage,NCBI Refseq,209,NC_019500,2821,168066,100,TRUE
Mycobacterium phage Oline,1052671,phage,NCBI Refseq,209,NC_023711,4124,68720,100,TRUE
Mycobacterium phage Sebata,1052672,phage,NCBI Refseq,209,NC_041993,3280,155286,100,TRUE
Mycobacterium phage Thibault,1052673,phage,NCBI Refseq,209,NC_023738,2268,106327,100,TRUE
Escherichia phage vB_EcoP_G7C,1054461,phage,NCBI Refseq,209,NC_015933,2590,72917,100,TRUE
Escherichia phage wV7,1054480,phage,NCBI Refseq,209,NC_019505,2906,166452,100,TRUE
Escherichia phage ime09,1054834,phage,NCBI Refseq,209,NC_019503,2894,166499,100,TRUE
Salmonella phage 7-11,1054968,phage,NCBI Refseq,209,NC_015938,2661,89916,100,TRUE
Mycobacterium phage Charlie,1056830,phage,NCBI Refseq,209,NC_023729,208,43036,100,TRUE
Mycobacterium virus Larva,1056831,phage,NCBI Refseq,209,NC_023724,3989,62991,100,TRUE
Mycobacterium phage Wile,1056833,phage,NCBI Refseq,209,NC_023709,45,51308,100,TRUE
Staphylococcus virus phiETA (Bacteriophage phi ETA),106284,phage,NCBI Refseq,209,NC_003288,216,43081,100,TRUE
Enterobacteria phage PRD1,10658,phage,NCBI Refseq,209,NC_001421,1478,14927,100,TRUE
Escherichia virus T4,10665,phage,NCBI Refseq,209,NC_000866,2837,168903,100,TRUE
Enterobacteria phage T6,10666,phage,NCBI Refseq,209,NC_054907,2826,168697,100,TRUE
Enterobacteria phage P4,10680,phage,NCBI Refseq,209,NC_001609,1490,11624,100,TRUE
Enterobacteria phage P7,10682,phage,NCBI Refseq,209,NC_050152,2366,101660,100,TRUE
Vibrio phage CP-T1 (vB_VchM-CP-T1),10689,phage,NCBI Refseq,209,NC_019457,266,44492,100,TRUE
Haemophilus virus HP1,10690,phage,NCBI Refseq,209,NC_001697,1354,32355,100,TRUE
Enterobacteria phage RB18,10692,phage,NCBI Refseq,209,NC_054906,2893,166677,100,TRUE
Helicobacter phage phiHP33,1069378,phage,NCBI Refseq,209,NC_016568,1614,24645,100,TRUE
Enterobacteria phage RB51,10693,phage,NCBI Refseq,209,NC_012635,32,168394,100,FALSE
Streptomyces phage VWB,10702,phage,NCBI Refseq,209,NC_005345,636,49220,100,TRUE
Rhizobium phage 16-3,10704,phage,NCBI Refseq,209,NC_011103,4394,60195,100,TRUE
Escherichia virus BF23,10707,phage,NCBI Refseq,209,NC_042564,1496,14504,100,TRUE
Pseudomonas virus D3112,10708,phage,NCBI Refseq,209,NC_005178,2233,37611,100,TRUE
Mycobacterium phage Lilac,1070990,phage,NCBI Refseq,209,NC_023689,2575,76260,100,TRUE
Escherichia virus Lambda,10710,phage,NCBI Refseq,209,NC_001416,733,48502,100,TRUE
Psychrobacter phage Psymv2,1071177,phage,NCBI Refseq,209,NC_023734,2004,35725,100,TRUE
Enterobacteria phage phi80 (Lula),10713,phage,NCBI Refseq,209,NC_021190,1153,46150,100,TRUE
Mycobacterium virus Cuco,1071502,phage,NCBI Refseq,209,NC_042333,3697,50965,100,TRUE
Mycobacterium phage Trixie,1071503,phage,NCBI Refseq,209,NC_023731,3428,53526,100,TRUE
Mycobacterium phage Turbido,1071504,phage,NCBI Refseq,209,NC_023707,3790,53169,100,TRUE
Mycobacterium virus GUmbie,1071505,phage,NCBI Refseq,209,NC_023746,3573,57387,100,TRUE
Mycobacterium phage RidgeCB,1071506,phage,NCBI Refseq,209,NC_023710,806,50844,100,TRUE
Streptomyces virus phiC31,10719,phage,NCBI Refseq,209,NC_001978,371,41491,100,TRUE
Bacillus phage SPP1,10724,phage,NCBI Refseq,209,NC_004166,252,44010,100,TRUE
Escherichia virus T5,10726,phage,NCBI Refseq,209,NC_005859,2506,121750,100,TRUE
Escherichia phage 933W,10730,phage,NCBI Refseq,209,NC_000924,4315,61670,100,TRUE
Streptomyces phage R4,10732,phage,NCBI Refseq,209,NC_019414,3669,51071,100,TRUE
Enterococcus phage SAP6,1073766,phage,NCBI Refseq,209,NC_041960,4269,58619,100,TRUE
Cronobacter virus Esp2949-1,1073767,phage,NCBI Refseq,209,NC_019509,634,49116,100,TRUE
uncultured phage WW-nAnB,1074044,phage,NCBI Refseq,209,NC_026582,1515,4817,100,TRUE
Mycobacterium virus Drago,1074303,phage,NCBI Refseq,209,NC_023721,3443,54411,100,TRUE
Mycobacterium virus Liefie,1074304,phage,NCBI Refseq,209,NC_023705,392,41650,100,TRUE
Mycobacterium phage Dandelion,1074305,phage,NCBI Refseq,209,NC_023696,3311,157568,100,TRUE
Mycobacterium virus Eureka,1074306,phage,NCBI Refseq,209,NC_041850,2528,76174,100,TRUE
Mycobacterium phage LinStu,1074307,phage,NCBI Refseq,209,NC_023714,3104,153882,100,TRUE
Mycobacterium phage Patience,1074308,phage,NCBI Refseq,209,NC_023691,4003,70506,100,TRUE
Mycobacterium phage BigNuz,1074309,phage,NCBI Refseq,209,NC_023692,659,48984,100,TRUE
Streptococcus phage Cp1,10747,phage,NCBI Refseq,209,NC_001825,1601,19343,100,TRUE
Streptococcus phage CP-7,10748,phage,NCBI Refseq,209,NC_042114,1600,19741,100,TRUE
Bacillus phage Nf,10753,phage,NCBI Refseq,209,NC_049976,1685,18753,100,TRUE
Salmonella virus P22 (P22),10754,phage,NCBI Refseq,209,NC_002371,401,41724,100,TRUE
Enterobacteria phage T7M,1075774,phage,NCBI Refseq,209,NC_047867,2138,38202,100,TRUE
Bacillus phage PZA,10757,phage,NCBI Refseq,209,NC_001423,1603,19366,100,TRUE
Escherichia phage T7 (T7),10760,phage,NCBI Refseq,209,NC_001604,1937,39937,100,TRUE
Mycobacterium virus Perseus,1076136,phage,NCBI Refseq,209,NC_023720,3789,53142,100,TRUE
Shigella virus Sf6,10761,phage,NCBI Refseq,209,NC_005344,1830,39043,100,TRUE
Mycobacterium phage AnnaL29,1076630,phage,NCBI Refseq,209,NC_022087,3799,53253,100,TRUE
Mycobacterium phage Jebeks,1076631,phage,NCBI Refseq,209,NC_041969,933,45580,100,TRUE
Vibrio phage phiVC8,1076759,phage,NCBI Refseq,209,NC_027118,1738,39422,100,TRUE
Bacillus virus B103,10778,phage,NCBI Refseq,209,NC_004165,1687,18630,100,TRUE
Mycobacterium phage Redi,1079894,phage,NCBI Refseq,209,NC_023730,556,42594,100,TRUE
Mycobacterium phage Pleione,1079895,phage,NCBI Refseq,209,NC_023737,3287,155586,100,TRUE
Synechococcus phage ACG-2014c,1079998,phage,NCBI Refseq,209,NC_019444,3036,176043,100,TRUE
Synechococcus phage metaG-MbCM1,1079999,phage,NCBI Refseq,209,NC_019443,3056,172879,100,TRUE
Salmonella phage SFP10,1080800,phage,NCBI Refseq,209,NC_016073,3297,157950,100,TRUE
Escherichia phage G4,10843,phage,NCBI Refseq,209,NC_001420,1546,5577,100,TRUE
Escherichia phage St-1,10845,phage,NCBI Refseq,209,NC_012868,1549,6094,100,TRUE
Mycobacterium phage BarrelRoll,1084722,phage,NCBI Refseq,209,NC_023747,4359,59672,100,TRUE
Escherichia phage alpha3,10849,phage,NCBI Refseq,209,NC_001330,1547,6087,100,TRUE
Spiroplasma virus SpV4 (Sp-4),10855,phage,NCBI Refseq,209,NC_003438,1537,4421,100,TRUE
Xanthomonas virus Cf1c,10862,phage,NCBI Refseq,209,NC_001396,1437,7308,100,TRUE
Enterobacteria phage fd,10864,phage,NCBI Refseq,209,NC_025824,59,6408,100,TRUE
Mycobacterium phage Dreamboat,1086749,phage,NCBI Refseq,209,NC_023708,3681,51083,100,TRUE
Mycobacterium virus Rumpelstiltskin,1086751,phage,NCBI Refseq,209,NC_023732,4107,69279,100,TRUE
Salmonella phage IKe,10867,phage,NCBI Refseq,209,NC_002014,1463,6883,100,TRUE
Mycobacterium phage Violet,1086800,phage,NCBI Refseq,209,NC_023695,3853,52481,100,TRUE
Escherichia phage If1,10868,phage,NCBI Refseq,209,NC_001954,1445,8454,100,TRUE
Escherichia virus I22,10869,phage,NCBI Refseq,209,NC_001332,1456,6744,100,TRUE
Pseudomonas phage Pf3,10872,phage,NCBI Refseq,209,NC_001418,1539,5833,100,TRUE
Salmonella phage vB_SenM-S16,1087482,phage,NCBI Refseq,209,NC_020416,3208,160221,100,TRUE
Mycobacterium phage Bongo,1088864,phage,NCBI Refseq,209,NC_041970,2732,80228,100,TRUE
Mycobacterium phage MoMoMixon,1088865,phage,NCBI Refseq,209,NC_023733,3102,154573,100,TRUE
Mycobacterium phage Nappy,1088866,phage,NCBI Refseq,209,NC_023725,3272,156646,100,TRUE
Mycobacterium phage Vista,1089108,phage,NCBI Refseq,209,NC_023727,4126,68494,100,TRUE
Mycobacterium phage Akoma,1089110,phage,NCBI Refseq,209,NC_023742,4125,68711,100,TRUE
Mycobacterium virus Alma,1089111,phage,NCBI Refseq,209,NC_023716,3784,53177,100,TRUE
Mycobacterium phage Athena,1089113,phage,NCBI Refseq,209,NC_041965,4114,69409,100,TRUE
Mycobacterium virus Babsiella,1089115,phage,NCBI Refseq,209,NC_023697,754,48420,100,TRUE
Mycobacterium virus Billknuckles,1089116,phage,NCBI Refseq,209,NC_023739,3663,51821,100,TRUE
Mycobacterium phage Blue7,1089117,phage,NCBI Refseq,209,NC_023713,3806,52288,100,TRUE
Mycobacterium virus Bruns,1089118,phage,NCBI Refseq,209,NC_023687,3740,53003,100,TRUE
Mycobacterium virus Courthouse,1089119,phage,NCBI Refseq,209,NC_023690,2303,110569,100,TRUE
Mycobacterium virus DeadP,1089120,phage,NCBI Refseq,209,NC_023728,3557,56461,100,TRUE
Mycobacterium phage Dori,1089121,phage,NCBI Refseq,209,NC_023703,3982,64613,100,TRUE
Mycobacterium phage Gadjet,1089122,phage,NCBI Refseq,209,NC_023686,4099,67949,100,TRUE
Mycobacterium virus Jeffabunny,1089125,phage,NCBI Refseq,209,NC_042334,656,48963,100,TRUE
Mycobacterium phage Kikipoo,1089127,phage,NCBI Refseq,209,NC_028907,4131,68839,100,TRUE
Mycobacterium virus Kugel,1089128,phage,NCBI Refseq,209,NC_023702,3814,52379,100,TRUE
Mycobacterium virus LHTSCC,1089129,phage,NCBI Refseq,209,NC_023745,7,51813,100,TRUE
Mycobacterium virus SG4,1089132,phage,NCBI Refseq,209,NC_023699,4163,59016,100,TRUE
Mycobacterium virus Firecracker,1089135,phage,NCBI Refseq,209,NC_023712,4062,71341,100,TRUE
Mycobacterium phage JacAttac,1089136,phage,NCBI Refseq,209,NC_023740,4084,68311,100,TRUE
Mycobacterium phage Stinger,1089137,phage,NCBI Refseq,209,NC_023741,4070,69641,100,TRUE
Enterobacteria phage IME10,1090133,phage,NCBI Refseq,209,NC_019501,1760,39646,100,TRUE
Salmonella phage SPN3US,1090134,phage,NCBI Refseq,209,NC_027402,4139,240413,100,TRUE
Dickeya virus Limestone,1091052,phage,NCBI Refseq,209,NC_019925,3119,152427,100,TRUE
Pseudomonas virus LPB1,1091556,phage,NCBI Refseq,209,NC_027298,2013,36814,100,TRUE
Pseudomonas virus FHA0480,1093100,phage,NCBI Refseq,209,NC_041851,2189,37374,100,TRUE
Mycobacterium virus DotProduct,1097752,phage,NCBI Refseq,209,NC_042336,3383,55363,100,TRUE
Mycobacterium virus Fionnbarth,1097753,phage,NCBI Refseq,209,NC_027365,3513,58076,100,TRUE
Mycobacterium virus Saintus,1097754,phage,NCBI Refseq,209,NC_042335,635,49228,100,TRUE
Pseudomonas phage Bf7,1100790,phage,NCBI Refseq,209,NC_016764,1943,40058,100,TRUE
Gordonia phage GTE7,1100814,phage,NCBI Refseq,209,NC_016166,2639,74431,100,TRUE
Yersinia phage phiYeO3-12,110457,phage,NCBI Refseq,209,NC_001271,1717,39600,100,TRUE
Bacteroides phage B124-14,1105171,phage,NCBI Refseq,209,NC_016770,1097,47159,100,TRUE
Rhodobacter phage RcapMu,1105286,phage,NCBI Refseq,209,NC_016165,1728,39283,100,TRUE
Vibrio phage VCY-phi,1105327,phage,NCBI Refseq,209,NC_016162,1453,7103,100,TRUE
Salmonella phage Sh19,1108865,phage,NCBI Refseq,209,NC_019530,3301,157785,100,TRUE
Gordonia phage GRU1,1109710,phage,NCBI Refseq,209,NC_016435,3893,65766,100,TRUE
Nocardia phage NBR1,1109711,phage,NCBI Refseq,209,NC_016569,1151,46140,100,TRUE
Rhodococcus phage REQ1,1109712,phage,NCBI Refseq,209,NC_016655,3701,51342,100,TRUE
Rhodococcus phage REQ2,1109713,phage,NCBI Refseq,209,NC_016652,681,49330,100,TRUE
Rhodococcus phage REQ3,1109714,phage,NCBI Refseq,209,NC_016654,1712,39474,100,TRUE
Rhodococcus phage RER2,1109715,phage,NCBI Refseq,209,NC_016653,1055,46586,100,TRUE
Rhodococcus virus RGL3,1109716,phage,NCBI Refseq,209,NC_016650,706,48072,100,TRUE
Rhodococcus phage RRH1,1109717,phage,NCBI Refseq,209,NC_016651,1503,14270,100,TRUE
Shigella phage EP23,1109721,phage,NCBI Refseq,209,NC_016566,227,44077,100,TRUE
Salmonella phage 9NA,1113547,phage,NCBI Refseq,209,NC_025443,3757,52869,100,TRUE
Pseudomonas phage tf,1114179,phage,NCBI Refseq,209,NC_017971,1162,46271,100,TRUE
Salmonella phage SE2,1115478,phage,NCBI Refseq,209,NC_016763,113,43221,100,TRUE
Pectobacterium phage phiTE,1116482,phage,NCBI Refseq,209,NC_020201,3192,142349,100,TRUE
Staphylococcus phage SpaA1,1118063,phage,NCBI Refseq,209,NC_018277,177,42784,100,TRUE
Bacillus phage BceA1,1118064,phage,NCBI Refseq,209,NC_048628,161,42932,100,TRUE
Streptococcus virus 7201,112023,phage,NCBI Refseq,209,NC_002185,1994,35466,100,TRUE
Sulfolobus virus STSV2,1123964,phage,NCBI Refseq,209,NC_020077,2527,76107,100,TRUE
Bacillus phage phIS3501,1124578,phage,NCBI Refseq,209,NC_019502,268,44401,100,TRUE
Escherichia phage TL-2011b,1124654,phage,NCBI Refseq,209,NC_019445,1022,44784,100,TRUE
Escherichia phage TL-2011c,1124655,phage,NCBI Refseq,209,NC_019442,4383,60523,100,TRUE
Pseudomonas phage OBP,1124849,phage,NCBI Refseq,209,NC_016571,1218,284757,100,TRUE
Salmonella phage SPN1S,1125653,phage,NCBI Refseq,209,NC_016761,2154,38684,100,TRUE
Thermoanaerobacterium phage THSA-485A,1126885,phage,NCBI Refseq,209,NC_018264,570,41938,100,TRUE
Bacillus phage B5S,1126949,phage,NCBI Refseq,209,NC_047736,34,162598,100,TRUE
Bacillus phage BCP78,1126950,phage,NCBI Refseq,209,NC_018860,3268,156176,100,TRUE
Bacillus phage BCU4,1126951,phage,NCBI Refseq,209,NC_047735,3100,154371,100,TRUE
Salmonella phage SPN9CC,1127357,phage,NCBI Refseq,209,NC_017985,1961,40128,100,TRUE
Aeromonas phage vB_AsaM-56 (phage 56-Popoff),1127514,phage,NCBI Refseq,209,NC_019527,221,43551,100,TRUE
Bdellovibrio phage phi1422 (vB_BbaM-phi1422),1127515,phage,NCBI Refseq,209,NC_019525,911,45354,100,TRUE
Pectobacterium phage ZF40 (vB_PcaM-ZF40),1127516,phage,NCBI Refseq,209,NC_019522,756,48454,100,TRUE
Vibrio phage vB_VchM-138,1127518,phage,NCBI Refseq,209,NC_019518,264,44485,100,TRUE
Clostridium phage phi24R,1128071,phage,NCBI Refseq,209,NC_019523,1595,18919,100,TRUE
Pseudomonas phage phi297,1129145,phage,NCBI Refseq,209,NC_016762,627,49135,100,TRUE
Pseudomonas virus PMG1,1129146,phage,NCBI Refseq,209,NC_016765,3460,54024,100,TRUE
Klebsiella phage KP27,1129147,phage,NCBI Refseq,209,NC_020080,3032,174413,100,TRUE
Klebsiella phage KP36,1129191,phage,NCBI Refseq,209,NC_029099,846,49797,100,TRUE
Bacillus phage BCP8-2,1129192,phage,NCBI Refseq,209,NC_027355,3222,159071,100,TRUE
Xanthomonas phage vB_XveM_DIBBI,1129194,phage,NCBI Refseq,209,NC_017981,881,49981,100,TRUE
Erwinia phage PEp14,1131315,phage,NCBI Refseq,209,NC_016767,4291,60714,100,TRUE
Rhodobacter phage RcapNL,1131316,phage,NCBI Refseq,209,NC_020489,1870,40489,100,TRUE
Escherichia phage FV3,1131317,phage,NCBI Refseq,209,NC_019517,3147,136947,100,TRUE
Burkholderia phage vB_BceS_KL1,1132026,phage,NCBI Refseq,209,NC_018278,183,42832,100,TRUE
Burkholderia phage vB_BceS_AH2,1133022,phage,NCBI Refseq,209,NC_018283,3523,58065,100,TRUE
Brucella phage Tb,1133292,phage,NCBI Refseq,209,NC_019446,475,41148,100,TRUE
Brucella phage Pr,1133293,phage,NCBI Refseq,209,NC_019447,2116,38253,100,TRUE
Bacillus phage BCD7,1136534,phage,NCBI Refseq,209,NC_019515,2340,93839,100,TRUE
Bacillus phage BPS13,1136731,phage,NCBI Refseq,209,NC_018857,3260,158305,100,TRUE
Cyanophage S-TIM5,1137745,phage,NCBI Refseq,209,NC_019516,3247,161440,100,TRUE
Aeromonas phage phiAS7,1141132,phage,NCBI Refseq,209,NC_019528,423,41572,100,TRUE
Bacillus phage B4,1141133,phage,NCBI Refseq,209,NC_018863,34,162596,99.97,FALSE
Salmonella virus SPN19,1141134,phage,NCBI Refseq,209,NC_019417,4146,59203,100,TRUE
Cronobacter phage vB_CsaM_GAP31,1141135,phage,NCBI Refseq,209,NC_019400,3074,147940,100,TRUE
Cronobacter phage vB_CsaM_GAP32,1141136,phage,NCBI Refseq,209,NC_019401,1438,358663,100,TRUE
Cronobacter phage vB_CsaP_GAP52,1141137,phage,NCBI Refseq,209,NC_019402,2558,76631,100,TRUE
Cronobacter phage vB_CsaM_GAP161,1141138,phage,NCBI Refseq,209,NC_019398,2948,178193,100,TRUE
Escherichia phage vB_EcoP_ACG-C91,1141139,phage,NCBI Refseq,209,NC_019403,301,43731,100,TRUE
Escherichia phage vB_EcoS_ACG-M12,1141140,phage,NCBI Refseq,209,NC_019404,1156,46054,100,TRUE
Escherichia phage vB_EcoM_ACG-C40,1141141,phage,NCBI Refseq,209,NC_019399,2817,167396,100,TRUE
Escherichia phage phiKT,1141519,phage,NCBI Refseq,209,NC_019520,551,42608,100,TRUE
Pseudomonas phage vB_Pae-TbilisiM32,1141525,phage,NCBI Refseq,209,NC_017865,85,42966,100,TRUE
Pseudomonas phage vB_Pae-Kakheti25,1141526,phage,NCBI Refseq,209,NC_017864,186,42844,100,TRUE
Lactococcus phage ul36,114416,phage,NCBI Refseq,209,NC_004066,2014,36798,100,TRUE
Staphylococcus phage StB12,1147042,phage,NCBI Refseq,209,NC_020490,973,44714,100,TRUE
Staphylococcus phage StB20,1147043,phage,NCBI Refseq,209,NC_019915,453,40917,100,TRUE
Staphylococcus phage StB27,1147044,phage,NCBI Refseq,209,NC_019914,1965,40071,100,TRUE
Klebsiella phage vB_KleM_RaK2,1147094,phage,NCBI Refseq,209,NC_019526,1196,345809,100,TRUE
Clostridium phage phi8074-B1,1147137,phage,NCBI Refseq,209,NC_019924,718,47595,100,TRUE
Enterobacter phage phiKDA1,1147139,phage,NCBI Refseq,209,NC_027980,352,43804,100,TRUE
Salmonella phage SPN3UB,1147140,phage,NCBI Refseq,209,NC_019545,1069,47355,100,TRUE
Mycobacterium phage Spartacus,1147141,phage,NCBI Refseq,209,NC_041986,4283,61164,100,TRUE
Escherichia phage HK578,1147142,phage,NCBI Refseq,209,NC_019724,304,43741,100,TRUE
