header,taxon,protein,sp,description,vog
1206558.YP_007235901.1 T4-like phage RNA polymerase sigma factor for late transcription [Yersinia phage phiR1-RT],1206558,YP_007235901.1,Yersinia phage phiR1-RT, T4-like phage RNA polymerase sigma factor for late transcription,VOG02363
1206560.YP_009149307.1 RNA polymerase sigma factor [Yersinia phage phiD1],1206560,YP_009149307.1,Yersinia phage phiD1, RNA polymerase sigma factor,VOG02363
1211280.YP_009217495.1 T4-like phage RNA polymerase sigma factor forlate transcription [Stenotrophomonas phage IME13],1211280,YP_009217495.1,Stenotrophomonas phage IME13, T4-like phage RNA polymerase sigma factor forlate transcription,VOG02363
1222338.YP_009118726.1 Putative sigma factor for T4 late transcription [Enterobacteria phage GEC-3S],1222338,YP_009118726.1,Enterobacteria phage GEC-3S, Putative sigma factor for T4 late transcription,VOG02363
1229752.YP_006908182.1 sigma factor for late transcription [Campylobacter phage CP30A],1229752,YP_006908182.1,Campylobacter phage CP30A, sigma factor for late transcription,VOG02363
12353.NP_861761.1 RNA polymerase sigma factor [Escherichia phage RB69 (RB69)],12353,NP_861761.1,Escherichia phage RB69 (RB69), RNA polymerase sigma factor,VOG02363
1262513.YP_007349087.1 sigma factor for late transcription [Serratia phage phiMAM1],1262513,YP_007349087.1,Serratia phage phiMAM1, sigma factor for late transcription,VOG02363
1262539.YP_009006358.1 RNA polymerase sigma factor [Vibrio phage VH7D],1262539,YP_009006358.1,Vibrio phage VH7D, RNA polymerase sigma factor,VOG02363
1273738.YP_009150844.1 RNA polymerase sigma factor [Escherichia phage PBECO4],1273738,YP_009150844.1,Escherichia phage PBECO4, RNA polymerase sigma factor,VOG02363
1278479.YP_009301643.1 RNA polymerase sigma factor for latetranscription [Cyanophage S-RIM32],1278479,YP_009301643.1,Cyanophage S-RIM32, RNA polymerase sigma factor for latetranscription,VOG02363
1278485.YP_009783274.1 RNA polymerase sigma factor for late transcription [Cyanophage S-RIM44],1278485,YP_009783274.1,Cyanophage S-RIM44, RNA polymerase sigma factor for late transcription,VOG02363
1283076.YP_007517965.1 sigma factor for late transcription [Pelagibacter phage HTVC008M],1283076,YP_007517965.1,Pelagibacter phage HTVC008M, sigma factor for late transcription,VOG02363
1307804.YP_008060575.1 sigma factor for late transcription [Escherichia phage Lw1],1307804,YP_008060575.1,Escherichia phage Lw1, sigma factor for late transcription,VOG02363
1327935.YP_009196622.1 putative RNA polymerase sigma factor [Cronobacter phage S13],1327935,YP_009196622.1,Cronobacter phage S13, putative RNA polymerase sigma factor,VOG02363
1340810.YP_009008257.1 sigma factor [Synechococcus phage ACG-2014h],1340810,YP_009008257.1,Synechococcus phage ACG-2014h, sigma factor,VOG02363
1340812.YP_009007984.1 sigma factor for late transcription [Synechococcus phage S-MbCM100],1340812,YP_009007984.1,Synechococcus phage S-MbCM100, sigma factor for late transcription,VOG02363
1351740.YP_009153665.1 RNA polymerase sigma factor [Yersinia phage PST],1351740,YP_009153665.1,Yersinia phage PST, RNA polymerase sigma factor,VOG02363
1357423.YP_009142961.1 sigma factor for late transcription [Sinorhizobium phage phiM12],1357423,YP_009142961.1,Sinorhizobium phage phiM12, sigma factor for late transcription,VOG02363
1357714.YP_009098909.1 RNA polymerase sigma factor for late transcription [Caulobacter phage Cr30],1357714,YP_009098909.1,Caulobacter phage Cr30, RNA polymerase sigma factor for late transcription,VOG02363
1391224.YP_009056654.1 RNA polymerase sigma factor [Escherichia phage vB_EcoM_PhAPEC2],1391224,YP_009056654.1,Escherichia phage vB_EcoM_PhAPEC2, RNA polymerase sigma factor,VOG02363
1406794.YP_008771721.1 RNA polymerase sigma factor [Salmonella phage Marshall],1406794,YP_008771721.1,Salmonella phage Marshall, RNA polymerase sigma factor,VOG02363
1406795.YP_008770930.1 RNA polymerase sigma factor [Salmonella phage Maynard],1406795,YP_008770930.1,Salmonella phage Maynard, RNA polymerase sigma factor,VOG02363
1429794.YP_009211489.1 RNA polymerase sigma factor for late transcription [Pectobacterium bacteriophage PM2],1429794,YP_009211489.1,Pectobacterium bacteriophage PM2, RNA polymerase sigma factor for late transcription,VOG02363
1430444.YP_009037438.1 RNA polymerase sigma factor [Escherichia phage vB_EcoM_JS09],1430444,YP_009037438.1,Escherichia phage vB_EcoM_JS09, RNA polymerase sigma factor,VOG02363
1434323.YP_009148512.1 RNA polymerase sigma factor [Escherichia phage HY01],1434323,YP_009148512.1,Escherichia phage HY01, RNA polymerase sigma factor,VOG02363
1445860.YP_009126263.1 RNA polymerase subunit sigma [Salmonella phage STP4-a],1445860,YP_009126263.1,Salmonella phage STP4-a, RNA polymerase subunit sigma,VOG02363
1446492.YP_009030521.1 sigma factor for late transcription [Salmonella phage vB-SalM-SJ3],1446492,YP_009030521.1,Salmonella phage vB-SalM-SJ3, sigma factor for late transcription,VOG02363
1455074.YP_009005322.1 RNA polymerase sigma factor [Enterobacter phage PG7],1455074,YP_009005322.1,Enterobacter phage PG7, RNA polymerase sigma factor,VOG02363
1458849.YP_009021270.1 sigma factor for late transcript [Salmonella phage vB-SalM-SJ2],1458849,YP_009021270.1,Salmonella phage vB-SalM-SJ2, sigma factor for late transcript,VOG02363
1477406.YP_009102896.1 putative sigma factor involved in late transcription [Dickeya phage RC-2014],1477406,YP_009102896.1,Dickeya phage RC-2014, putative sigma factor involved in late transcription,VOG02363
1481112.YP_009030113.1 sigma factor for T4 late transcription [Serratia phage PS2],1481112,YP_009030113.1,Serratia phage PS2, sigma factor for T4 late transcription,VOG02363
1493509.YP_009133451.1 late transcription sigma factor [Synechococcus phage ACG-2014d],1493509,YP_009133451.1,Synechococcus phage ACG-2014d, late transcription sigma factor,VOG02363
1493510.YP_009134623.1 late transcription sigma factor [Synechococcus phage ACG-2014e],1493510,YP_009134623.1,Synechococcus phage ACG-2014e, late transcription sigma factor,VOG02363
1493512.YP_009133677.1 late transcription sigma factor [Synechococcus phage ACG-2014g],1493512,YP_009133677.1,Synechococcus phage ACG-2014g, late transcription sigma factor,VOG02363
1493513.YP_009140904.1 late transcription sigma factor [Synechococcus phage ACG-2014i],1493513,YP_009140904.1,Synechococcus phage ACG-2014i, late transcription sigma factor,VOG02363
1493514.YP_009134113.1 late transcription sigma factor [Synechococcus phage ACG-2014j],1493514,YP_009134113.1,Synechococcus phage ACG-2014j, late transcription sigma factor,VOG02363
1495285.YP_009030673.1 RNA polymerase sigma factor [Escherichia phage vB_EcoM_112],1495285,YP_009030673.1,Escherichia phage vB_EcoM_112, RNA polymerase sigma factor,VOG02363
1508678.YP_009592897.1 RNA polymerase sigma factor [Escherichia coli O157 typing phage 3],1508678,YP_009592897.1,Escherichia coli O157 typing phage 3, RNA polymerase sigma factor,VOG02363
1508681.YP_009593078.1 RNA polymerase sigma factor [Escherichia coli O157 typing phage 6],1508681,YP_009593078.1,Escherichia coli O157 typing phage 6, RNA polymerase sigma factor,VOG02363
1527524.YP_009097653.1 sigma factor [Citrobacter phage Miller],1527524,YP_009097653.1,Citrobacter phage Miller, sigma factor,VOG02363
1527770.YP_009099933.1 putative RNA polymerase sigma factor [Rhizobium phage vB_RleM_P10VF],1527770,YP_009099933.1,Rhizobium phage vB_RleM_P10VF, putative RNA polymerase sigma factor,VOG02363
1540095.YP_009146498.1 RNA polymerase sigma factor [Citrobacter phage Moon],1540095,YP_009146498.1,Citrobacter phage Moon, RNA polymerase sigma factor,VOG02363
1541686.YP_009321607.1 sigma factor [Campylobacter phage PC14],1541686,YP_009321607.1,Campylobacter phage PC14, sigma factor,VOG02363
1541825.YP_009100610.1 RNA polymerase sigma factor [Shigella phage Shf125875],1541825,YP_009100610.1,Shigella phage Shf125875, RNA polymerase sigma factor,VOG02363
1542477.YP_009213628.1 putative late sigma factor [Prochlorococcus phage P-TIM68],1542477,YP_009213628.1,Prochlorococcus phage P-TIM68, putative late sigma factor,VOG02363
1551641.YP_009110883.1 RNA polymerase sigma factor [Shigella phage pSs-1],1551641,YP_009110883.1,Shigella phage pSs-1, RNA polymerase sigma factor,VOG02363
1555202.YP_009102178.1 RNA polymerase sigma factor [Escherichia phage 121Q],1555202,YP_009102178.1,Escherichia phage 121Q, RNA polymerase sigma factor,VOG02363
1564096.YP_009147586.1 sigma factor involved in late transcription [Erwinia phage phiEa2809],1564096,YP_009147586.1,Erwinia phage phiEa2809, sigma factor involved in late transcription,VOG02363
1567026.YP_009205757.1 RNA polymerase sigma factor [Escherichia phage vb_EcoM-VR5],1567026,YP_009205757.1,Escherichia phage vb_EcoM-VR5, RNA polymerase sigma factor,VOG02363
1567027.YP_009207243.1 RNA polymerase sigma factor [Escherichia phage vB_EcoM_VR20],1567027,YP_009207243.1,Escherichia phage vB_EcoM_VR20, RNA polymerase sigma factor,VOG02363
1567028.YP_009209807.1 RNA polymerase sigma factor [Escherichia phage vB_EcoM_VR25],1567028,YP_009209807.1,Escherichia phage vB_EcoM_VR25, RNA polymerase sigma factor,VOG02363
1567029.YP_009213900.1 RNA polymerase sigma factor [Escherichia phage vB_EcoM_VR26],1567029,YP_009213900.1,Escherichia phage vB_EcoM_VR26, RNA polymerase sigma factor,VOG02363
1589265.YP_009200333.1 RNA polymerase sigma factor [Yersinia phage vB_YenM_TG1],1589265,YP_009200333.1,Yersinia phage vB_YenM_TG1, RNA polymerase sigma factor,VOG02363
1589733.YP_009188220.1 sigma factor for late transcription [Cyanophage P-TIM40],1589733,YP_009188220.1,Cyanophage P-TIM40, sigma factor for late transcription,VOG02363
1608310.YP_009190224.1 sigma factor for T4 late transcription [Edwardsiella phage PEi20],1608310,YP_009190224.1,Edwardsiella phage PEi20, sigma factor for T4 late transcription,VOG02363
1610855.YP_009201300.1 RNA polymerase sigma factor [Vibrio phage ValKK3],1610855,YP_009201300.1,Vibrio phage ValKK3, RNA polymerase sigma factor,VOG02363
1636182.YP_009189635.1 sigma factor for late transcription [Sinorhizobium phage phiM9],1636182,YP_009189635.1,Sinorhizobium phage phiM9, sigma factor for late transcription,VOG02363
1636250.YP_009195474.1 RNA polymerase subunit sigma [Proteus phage vB_PmiM_Pm5461],1636250,YP_009195474.1,Proteus phage vB_PmiM_Pm5461, RNA polymerase subunit sigma,VOG02363
1647403.YP_009601160.1 sigma factor for late transcription [Sinorhizobium phage phiM7],1647403,YP_009601160.1,Sinorhizobium phage phiM7, sigma factor for late transcription,VOG02363
1647405.YP_009212292.1 sigma factor for late transcription [Sinorhizobium phage phiN3],1647405,YP_009212292.1,Sinorhizobium phage phiN3, sigma factor for late transcription,VOG02363
1651196.YP_010088419.1 RNA polymerase sigma factor [Enterobacteria phage ATK47],1651196,YP_010088419.1,Enterobacteria phage ATK47, RNA polymerase sigma factor,VOG02363
1651198.YP_010066739.1 RNA polymerase sigma factor [Enterobacteria phage Kha5h],1651198,YP_010066739.1,Enterobacteria phage Kha5h, RNA polymerase sigma factor,VOG02363
1651199.YP_010066279.1 RNA polymerase sigma factor [Enterobacteria phage GiZh],1651199,YP_010066279.1,Enterobacteria phage GiZh, RNA polymerase sigma factor,VOG02363
1651202.YP_010066118.1 RNA polymerase sigma factor [Enterobacteria phage Aplg8],1651202,YP_010066118.1,Enterobacteria phage Aplg8, RNA polymerase sigma factor,VOG02363
1654891.YP_009220891.1 sigma factor involved in late transcription [Salmonella phage 38],1654891,YP_009220891.1,Salmonella phage 38, sigma factor involved in late transcription,VOG02363
1654926.YP_009284124.1 RNA polymerase sigma factor [Escherichia phage HY03],1654926,YP_009284124.1,Escherichia phage HY03, RNA polymerase sigma factor,VOG02363
1654928.YP_009289489.1 RNA polymerase subunit sigma [Klebsiella phage PKO111],1654928,YP_009289489.1,Klebsiella phage PKO111, RNA polymerase subunit sigma,VOG02363
1655305.YP_009225195.1 RNA polymerase sigma factor [Escherichia phage APCEc01],1655305,YP_009225195.1,Escherichia phage APCEc01, RNA polymerase sigma factor,VOG02363
1673871.YP_009202796.1 hypothetical protein [Escherichia phage QL01],1673871,YP_009202796.1,Escherichia phage QL01, hypothetical protein,VOG02363
1673887.YP_009218682.1 RNA polymerase sigma factor for late transcription [Citrobacter phage IME-CF2],1673887,YP_009218682.1,Citrobacter phage IME-CF2, RNA polymerase sigma factor for late transcription,VOG02363
1675602.YP_009203779.1 RNA polymerase sigma factor [Citrobacter phage Merlin],1675602,YP_009203779.1,Citrobacter phage Merlin, RNA polymerase sigma factor,VOG02363
1675607.YP_009194295.1 sigma factor [Klebsiella phage Matisse],1675607,YP_009194295.1,Klebsiella phage Matisse, sigma factor,VOG02363
1675608.YP_009607247.1 hypothetical protein [Klebsiella phage Miro],1675608,YP_009607247.1,Klebsiella phage Miro, hypothetical protein,VOG02363
1682394.YP_009606966.1 RNA polymerase sigma factor [Enterobacter phage phiEap-3],1682394,YP_009606966.1,Enterobacter phage phiEap-3, RNA polymerase sigma factor,VOG02363
1698360.YP_009190621.1 RNA polymerase subunit sigma [Klebsiella phage JD18],1698360,YP_009190621.1,Klebsiella phage JD18, RNA polymerase subunit sigma,VOG02363
1701810.YP_009194869.1 sigma factor [Citrobacter phage Margaery],1701810,YP_009194869.1,Citrobacter phage Margaery, sigma factor,VOG02363
1720494.YP_009210255.1 RNA polymerase sigma factor [Escherichia phage slur02],1720494,YP_009210255.1,Escherichia phage slur02, RNA polymerase sigma factor,VOG02363
1720496.YP_009625183.1 RNA polymerase sigma factor [Escherichia phage slur03],1720496,YP_009625183.1,Escherichia phage slur03, RNA polymerase sigma factor,VOG02363
1720497.YP_009625286.1 RNA polymerase sigma factor [Escherichia phage slur04],1720497,YP_009625286.1,Escherichia phage slur04, RNA polymerase sigma factor,VOG02363
1720500.YP_009197387.1 RNA polymerase sigma factor [Escherichia phage slur07],1720500,YP_009197387.1,Escherichia phage slur07, RNA polymerase sigma factor,VOG02363
1720504.YP_009180839.1 RNA polymerase sigma factor [Escherichia phage slur14],1720504,YP_009180839.1,Escherichia phage slur14, RNA polymerase sigma factor,VOG02363
1777059.YP_010088553.1 RNA polymerase sigma factor [Escherichia phage phiE142],1777059,YP_010088553.1,Escherichia phage phiE142, RNA polymerase sigma factor,VOG02363
1785960.YP_009277201.1 hypothetical protein [Ralstonia phage RSP15],1785960,YP_009277201.1,Ralstonia phage RSP15, hypothetical protein,VOG02363
1815521.YP_009325116.1 RNA polymerase sigma factor for late transcription [Synechococcus phage S-WAM1],1815521,YP_009325116.1,Synechococcus phage S-WAM1, RNA polymerase sigma factor for late transcription,VOG02363
1815522.YP_009324296.1 RNA polymerase sigma factor for late transcription [Synechococcus phage S-WAM2],1815522,YP_009324296.1,Synechococcus phage S-WAM2, RNA polymerase sigma factor for late transcription,VOG02363
1815590.YP_009290333.1 RNA polymerase sigma factor [Escherichia phage vB_EcoM-UFV13],1815590,YP_009290333.1,Escherichia phage vB_EcoM-UFV13, RNA polymerase sigma factor,VOG02363
1815630.YP_009595551.1 hypothetical protein [Pseudomonas phage pf16],1815630,YP_009595551.1,Pseudomonas phage pf16, hypothetical protein,VOG02363
1815631.YP_009286421.1 RNA polymerase subunit sigma [Salmonella phage vB_SnwM_CGG4-1],1815631,YP_009286421.1,Salmonella phage vB_SnwM_CGG4-1, RNA polymerase subunit sigma,VOG02363
1837867.YP_009281405.1 RNA polymerase sigma factor [Escherichia phage UFV-AREG1],1837867,YP_009281405.1,Escherichia phage UFV-AREG1, RNA polymerase sigma factor,VOG02363
1837875.YP_010073300.1 RNA polymerase sigma factor [Escherichia phage PE37],1837875,YP_010073300.1,Escherichia phage PE37, RNA polymerase sigma factor,VOG02363
1837930.YP_009323960.1 hypothetical protein [Escherichia phage MX01],1837930,YP_009323960.1,Escherichia phage MX01, hypothetical protein,VOG02363
1837931.YP_009323265.1 hypothetical protein [Escherichia phage WG01],1837931,YP_009323265.1,Escherichia phage WG01, hypothetical protein,VOG02363
1852625.YP_009288735.1 RNA polymerase subunit sigma [Klebsiella phage vB_KpnM_KpV477],1852625,YP_009288735.1,Klebsiella phage vB_KpnM_KpV477, RNA polymerase subunit sigma,VOG02363
1852628.YP_009279908.1 sigma factor for late transcription [Morganella phage vB_MmoM_MP1],1852628,YP_009279908.1,Morganella phage vB_MmoM_MP1, sigma factor for late transcription,VOG02363
1852638.YP_010088974.1 RNA polymerase sigma factor for late transcription [Escherichia phage phT4A],1852638,YP_010088974.1,Escherichia phage phT4A, RNA polymerase sigma factor for late transcription,VOG02363
1852640.YP_009616079.1 sigma factor involved in late transcription [Serratia phage vB-Sru-IME250],1852640,YP_009616079.1,Serratia phage vB-Sru-IME250, sigma factor involved in late transcription,VOG02363
1863007.YP_009288434.1 RNA polymerase sigma factor [Shigella phage SHBML-50-1],1863007,YP_009288434.1,Shigella phage SHBML-50-1, RNA polymerase sigma factor,VOG02363
1863008.YP_009277707.1 RNA polymerase sigma factor [Shigella phage SHFML-11],1863008,YP_009277707.1,Shigella phage SHFML-11, RNA polymerase sigma factor,VOG02363
1863009.YP_009279059.1 RNA polymerase sigma factor [Shigella phage SHFML-26],1863009,YP_009279059.1,Shigella phage SHFML-26, RNA polymerase sigma factor,VOG02363
1863011.YP_009289221.1 RNA polymerase sigma factor [Shigella phage SHSML-52-1],1863011,YP_009289221.1,Shigella phage SHSML-52-1, RNA polymerase sigma factor,VOG02363
1868169.YP_009283912.1 sigma factor involved in late transcription [Salmonella phage GG32],1868169,YP_009283912.1,Salmonella phage GG32, sigma factor involved in late transcription,VOG02363
1868654.YP_009293294.1 sigma factor [Salmonella phage vB-SalM-PM10],1868654,YP_009293294.1,Salmonella phage vB-SalM-PM10, sigma factor,VOG02363
1871313.YP_009285588.1 sigma factor [Citrobacter phage vB_CfrM_CfP1],1871313,YP_009285588.1,Citrobacter phage vB_CfrM_CfP1, sigma factor,VOG02363
1873954.YP_009831348.1 sigma factor for late transcription [Cronobacter phage vB_CsaM_leE],1873954,YP_009831348.1,Cronobacter phage vB_CsaM_leE, sigma factor for late transcription,VOG02363
1880822.YP_009626287.1 T4-like phage RNA polymerase sigma factor for late transcription [Klebsiella phage PMBT1],1880822,YP_009626287.1,Klebsiella phage PMBT1, T4-like phage RNA polymerase sigma factor for late transcription,VOG02363
1883366.YP_009321412.1 RNA polymerase sigma factor for late transcription [Synechococcus phage S-CAM3],1883366,YP_009321412.1,Synechococcus phage S-CAM3, RNA polymerase sigma factor for late transcription,VOG02363
1883367.YP_009320571.1 RNA polymerase sigma factor for late transcription [Synechococcus phage S-CAM4],1883367,YP_009320571.1,Synechococcus phage S-CAM4, RNA polymerase sigma factor for late transcription,VOG02363
1883368.YP_009323086.1 RNA polymerase sigma factor for late transcription [Synechococcus phage S-CAM7],1883368,YP_009323086.1,Synechococcus phage S-CAM7, RNA polymerase sigma factor for late transcription,VOG02363
1883369.YP_009322553.1 RNA polymerase sigma factor for late transcription [Synechococcus phage S-CAM9],1883369,YP_009322553.1,Synechococcus phage S-CAM9, RNA polymerase sigma factor for late transcription,VOG02363
1885242.YP_009831068.1 sigma factor for late transcription [Cronobacter phage vB_CsaM_leB],1885242,YP_009831068.1,Cronobacter phage vB_CsaM_leB, sigma factor for late transcription,VOG02363
