REGION,REGION_LENGTH,COMPLETENESS(score),SPECIFIC_KEYWORD,REGION_POSITION,TRNA_NUM,TOTAL_PROTEIN_NUM,PHAGE_HIT_PROTEIN_NUM,HYPOTHETICAL_PROTEIN_NUM,PHAGE+HYPO_PROTEIN_PERCENTAGE,BACTERIAL_PROTEIN_NUM,ATT_SITE_SHOWUP,PHAGE_SPECIES_NUM,MOST_COMMON_PHAGE_NAME(hit_genes_count),FIRST_MOST_COMMON_PHAGE_NUM,FIRST_MOST_COMMON_PHAGE_PERCENTAGE,GC_PERCENTAGE,acc,MOST_COMMON_PHAGE_NAME,MOST_COMMON_PHAGE_NUM,MOST_COMMON_PHAGE_PERCENTAGE
7,32.8Kb,intact(150),"transposase,virion,tail,plate",2801478-2834336,0,46,32,11,93.4%,3,no,14,"PHAGE_Haemop_SuMu_NC_019455(12),PHAGE_Escher_D108_NC_013594(7),PHAGE_Pseudo_vB_PaeS_PAO1_Ab30_NC_026601(7),PHAGE_Entero_Mu_NC_000929(7),PHAGE_Pseudo_JBD24_NC_020203(7),PHAGE_Pseudo_JBD30_NC_020198(5),PHAGE_Pseudo_DMS3_NC_008717(5),PHAGE_Shigel_SfII_NC_021857(5),PHAGE_Entero_SfV_NC_003444(4),PHAGE_Pseudo_JD024_NC_024330(4),PHAGE_Entero_phiP27_NC_003356(4),PHAGE_Burkho_BcepMu_NC_005882(4),PHAGE_Pseudo_MP48_NC_024782(4),PHAGE_Burkho_phiE255_NC_009237(4),PHAGE_Rhodob_RcapMu_NC_016165(3),PHAGE_Burkho_KS10_NC_011216(3),PHAGE_Pseudo_PA1/KOR/2010_NC_023700(3),PHAGE_Pseudo_MP42_NC_018274(3),PHAGE_Vibrio_12B12_NC_021070(3),PHAGE_Pseudo_MP22_NC_009818(3),PHAGE_Pseudo_JBD88a_NC_020200(3),PHAGE_Pseudo_B3_NC_006548(3),PHAGE_Salmon_ST64B_NC_004313(2),PHAGE_Shigel_SfIV_NC_022749(2),PHAGE_Stenot_Smp131_NC_023588(2),PHAGE_Pseudo_JBD5_NC_020202(2),PHAGE_Burkho_KS5_NC_015265(2),PHAGE_Pseudo_MP38_NC_011611(2),PHAGE_Rhodob_RC1_NC_020839(1),PHAGE_Entero_lambda_NC_001416(1),PHAGE_Entero_HK106_NC_019768(1),PHAGE_Entero_HK629_NC_019711(1),PHAGE_Cronob_CR8_NC_024354(1),PHAGE_Pseudo_MP29_NC_011613(1),PHAGE_Burkho_KL3_NC_015266(1),PHAGE_Rhizob_RR1_B_NC_021557(1),PHAGE_Entero_HK97_NC_002167(1),PHAGE_Rhodov_RS1_NC_020866(1),PHAGE_Ralsto_RSK1_NC_022915(1),PHAGE_Entero_c_1_NC_019706(1),PHAGE_Rhizob_RR1_A_NC_021560(1),PHAGE_Rhizob_vB_RleM_PPF1_NC_025427(1),PHAGE_Bacill_BCP78_NC_018860(1),PHAGE_Pseudo_D3112_NC_005178(1),PHAGE_Mycoba_Bernal13_NC_024135(1),PHAGE_Bordet_BPP_1_NC_005357(1),PHAGE_Entero_HK630_NC_019723(1),PHAGE_Cronob_CR3_NC_017974(1)",12,26.08%,65.57%,AE017285.1,NA,NA,NA
8,41.4Kb,intact(150),"integrase,tail,head,portal,terminase",2936186-2977658,0,51,29,14,84.3%,8,yes,19,"PHAGE_Entero_SfV_NC_003444(6),PHAGE_Shigel_SfII_NC_021857(6),PHAGE_Entero_phiP27_NC_003356(6),PHAGE_Escher_D108_NC_013594(5),PHAGE_Salmon_ST64B_NC_004313(5),PHAGE_Vibrio_X29_NC_024369(5),PHAGE_Shigel_SfIV_NC_022749(5),PHAGE_Entero_Mu_NC_000929(5),PHAGE_Entero_HK630_NC_019723(4),PHAGE_Burkho_KL3_NC_015266(3),PHAGE_Psychr_pOW20_A_NC_020841(2),PHAGE_Burkho_KS10_NC_011216(2),PHAGE_Entero_HK629_NC_019711(2),PHAGE_Vibrio_12B12_NC_021070(2),PHAGE_Entero_N15_NC_001901(2),PHAGE_Loktan_pCB2051_A_NC_020853(2),PHAGE_Burkho_AH2_NC_018283(2),PHAGE_Rueger_DSS3_P1_NC_025428(2),PHAGE_Synech_S_CRM01_NC_015569(1),PHAGE_Mycoba_Giles_NC_009993(1),PHAGE_Bacill_PBC1_NC_017976(1),PHAGE_Megavi_chiliensis_NC_016072(1),PHAGE_Entero_RB43_NC_007023(1),PHAGE_Escher_Lw1_NC_021344(1),PHAGE_Klebsi_KP15_NC_014036(1),PHAGE_Gifsy_1_NC_010392(1),PHAGE_Thermu_OH2_NC_021784(1),PHAGE_Synech_S_CBP1_NC_025456(1),PHAGE_Sulfit_pCB2047_A_NC_020858(1),PHAGE_Strept_EJ_1_NC_005294(1),PHAGE_Synech_S_CBS3_NC_015465(1),PHAGE_Burkho_BcepNazgul_NC_005091(1),PHAGE_Entero_EF62phi_NC_017732(1),PHAGE_Vibrio_PVA1_NC_023605(1),PHAGE_Mycoba_Redno2_NC_022066(1),PHAGE_Lactob_LF1_NC_019486(1),PHAGE_Oenoco_phiS11_NC_023571(1),PHAGE_Haemop_SuMu_NC_019455(1),PHAGE_Megavi_lba_NC_020232(1),PHAGE_Rhizob_RR1_B_NC_021557(1),PHAGE_Pseudo_PPpW_3_NC_023006(1),PHAGE_Entero_mEp213_NC_019720(1),PHAGE_Mycoba_Avani_NC_023698(1),PHAGE_Lactob_phiLdb_NC_022762(1),PHAGE_Mannhe_vB_MhM_1152AP_NC_021778(1),PHAGE_Mycoba_SG4_NC_023699(1),PHAGE_Lactob_johnsonii_prophage_Lj771_NC_010179(1),PHAGE_Pseudo_AF_NC_019923(1),PHAGE_Mycoba_MichelleMyBell_NC_023572(1),PHAGE_Rhodob_RcapMu_NC_016165(1),PHAGE_Cafete_BV_PW1_NC_014637(1),PHAGE_Staphy_S24_1_NC_016565(1),PHAGE_Entero_WV8_NC_012749(1),PHAGE_Temper_phiNIH1_1_NC_003157(1),PHAGE_Entero_J8_65_NC_025445(1),PHAGE_Cronob_vB_CsaM_GAP161_NC_019398(1),PHAGE_Acanth_moumouvirus_NC_020104(1),PHAGE_Entero_Felix_01_NC_005282(1),PHAGE_Strept_phiSASD1_NC_014229(1),PHAGE_Lactob_Lv_1_NC_011801(1),PHAGE_Sulfit_pCB2047_C_NC_020856(1),PHAGE_Entero_c_1_NC_019706(1),PHAGE_Mycoba_Minerva_NC_026584(1),PHAGE_Rhizob_RR1_A_NC_021560(1),PHAGE_Burkho_KS14_NC_015273(1),PHAGE_Pseudo_vB_PaeS_PAO1_Ab18_NC_026594(1),PHAGE_Mannhe_phiMHaA1_NC_008201(1),PHAGE_Staphy_GRCS_NC_023550(1),PHAGE_Acanth_mimivirus_NC_014649(1)",6,11.76%,62.54%,AE017285.1,NA,NA,NA
1,43.9Kb,intact(130),"terminase,portal,capsid,head,tail,recombinase,integrase",403390-447381,0,23,15,5,86.9%,3,yes,12,NA,NA,NA,40.58%,NC_003909.8,PHAGE_Bacill_Fah,3,13%
2,20.2Kb,incomplete(40),"tail,coat",1333290-1353520,0,24,14,5,79.1%,5,no,11,NA,NA,NA,36.23%,NC_003909.8,PHAGE_Escher_phAPEC8,3,12.5%
3,25.7Kb,incomplete(20),tail,1541412-1567138,0,8,6,2,100%,0,yes,5,NA,NA,NA,35.30%,NC_003909.8,PHAGE_Ectoca_1,2,25%
1,9.2Kb,incomplete(40),"integrase,tail",1274369-1283638,0,9,6,3,100%,0,yes,5,"PHAGE_Clostr_phiSM101_NC_008265(2),PHAGE_Clostr_PhiS63_NC_017978(2),PHAGE_Entero_phiFL3A_NC_013648(1),PHAGE_Lactob_Lj965_NC_005355(1),PHAGE_Bacill_vB_BanS_Tsamsa_NC_023007(1),PHAGE_Clostr_phiCD119_NC_007917(1),PHAGE_Lactob_phijl1_NC_006936(1),PHAGE_Clostr_phiC2_NC_009231(1),PHAGE_Strept_K13_NC_024357(1),PHAGE_Lactob_Ld25A_NC_025415(1),PHAGE_Strept_DCC1738_NC_024361(1),PHAGE_Lactoc_949_NC_015263(1),PHAGE_Staphy_SpaA1_NC_018277(1),PHAGE_Lactoc_phiL47_NC_023574(1),PHAGE_Strept_SpSL1_NC_027396(1),PHAGE_Clostr_phiCTP1_NC_014457(1),PHAGE_Entero_phiFL2A_NC_013643(1),PHAGE_Lactob_Ld17_NC_025420(1),PHAGE_Clostr_phiCT9441A_NC_029022(1),PHAGE_Strept_IC1_NC_024370(1),PHAGE_Thermo_THSA_485A_NC_018264(1),PHAGE_Entero_phiFL1A_NC_013646(1),PHAGE_Lactoc_WRP3_NC_027341(1)",2,22.22%,29.74%,NC_003030.1,NA,NA,NA
2,65.1Kb,intact(150),"integrase,tail,head,capsid,protease,portal,terminase",2013351-2078513,0,90,47,36,92.2%,7,yes,31,"PHAGE_Paenib_Vegas_NC_028767(9),PHAGE_Clostr_phiSM101_NC_008265(9),PHAGE_Paenib_Harrison_NC_028746(8),PHAGE_Clostr_phiCT19406C_NC_029006(8),PHAGE_Geobac_E2_NC_009552(4),PHAGE_Clostr_PhiS63_NC_017978(4),PHAGE_Clostr_phiCTP1_NC_014457(3),PHAGE_Paenib_Xenia_NC_028837(3),PHAGE_Clostr_vB_CpeS_CP51_NC_021325(3),PHAGE_Paenib_Fern_NC_028851(3),PHAGE_Paenib_phiIBB_Pl23_NC_021865(3),PHAGE_Clostr_phiCT9441A_NC_029022(3),PHAGE_Clostr_phi3626_NC_003524(3),PHAGE_Strept_SM1_NC_004996(2),PHAGE_Lactob_Lj928_NC_005354(2),PHAGE_Entero_EFC_1_NC_025453(2),PHAGE_Bacill_BCP8_2_NC_027355(2),PHAGE_Lactob_Ld3_NC_025421(2),PHAGE_Lactob_JCL1032_NC_019456(2),PHAGE_Brocho_BL3_NC_015254(2),PHAGE_Staphy_phiRS7_NC_022914(2),PHAGE_Bacter_Diva_NC_028788(2),PHAGE_Thermo_THSA_485A_NC_018264(2),PHAGE_Clostr_CDMH1_NC_024144(2),PHAGE_Lactob_Lj965_NC_005355(1),PHAGE_Bacill_WBeta_NC_007734(1),PHAGE_Strept_SPQS1_NC_021868(1),PHAGE_Bacill_Fah_NC_007814(1),PHAGE_Strept_DCC1738_NC_024361(1),PHAGE_Brocho_NF5_NC_015252(1),PHAGE_Thermu_phiYS40_NC_008584(1),PHAGE_Bacill_IEBH_NC_011167(1),PHAGE_Bacill_Bcp1_NC_024137(1),PHAGE_Bacill_phBC6A51_NC_004820(1),PHAGE_Thermu_OH2_NC_021784(1),PHAGE_Stenot_Smp131_NC_023588(1),PHAGE_Lister_vB_LmoS_188_NC_028871(1),PHAGE_Strept_IC1_NC_024370(1),PHAGE_Bacill_JBP901_NC_027352(1),PHAGE_Bacter_Sitara_NC_028854(1),PHAGE_Mycoba_Redno2_NC_022066(1),PHAGE_Bacill_phIS3501_NC_019502(1),PHAGE_Lactoc_bIL286_NC_002667(1),PHAGE_Entero_IME_EFm1_NC_024356(1),PHAGE_Entero_vB_IME197_NC_028671(1),PHAGE_Strept_phiNJ2_NC_019418(1),PHAGE_Clostr_phiCD481_1_NC_028951(1),PHAGE_Strept_315.3_NC_004586(1),PHAGE_Bacill_BCD7_NC_019515(1),PHAGE_Bacill_BtCS33_NC_018085(1),PHAGE_Lactob_Ld25A_NC_025415(1),PHAGE_Bacill_Gamma_NC_007458(1),PHAGE_Lactob_c5_NC_019449(1),PHAGE_Lactob_J_1_NC_022756(1),PHAGE_Clostr_phi8074_B1_NC_019924(1),PHAGE_Staphy_vB_SauS_phi2_NC_028862(1),PHAGE_Lactob_LLKu_NC_022989(1),PHAGE_Paenib_HB10c2_NC_028758(1),PHAGE_Bacill_Pavlov_NC_028782(1),PHAGE_Lactob_phiLdb_NC_022762(1),PHAGE_Entero_BC611_NC_018086(1),PHAGE_Burkho_BcepB1A_NC_005886(1),PHAGE_Bacill_1_NC_009737(1),PHAGE_Lactob_KC5a_NC_007924(1),PHAGE_Entero_phiEf11_NC_013696(1),PHAGE_Bacill_SP10_NC_019487(1),PHAGE_Pseudo_phi_2_NC_013638(1),PHAGE_Thermu_TMA_NC_015937(1),PHAGE_Mycoba_Courthouse_NC_023690(1),PHAGE_Mycoba_Wanda_NC_022067(1),PHAGE_Bacter_Lily_NC_028841(1),PHAGE_Cellul_phi14:2_NC_021806(1),PHAGE_Bacill_Palmer_NC_028926(1),PHAGE_Lactob_Sha1_NC_019489(1),PHAGE_Lister_LP_030_3_NC_024384(1),PHAGE_Staphy_tp310_2_NC_009762(1),PHAGE_Burkho_AH2_NC_018283(1),PHAGE_Salmon_SE1_NC_011802(1),PHAGE_Staphy_StauST398_2_NC_021323(1),PHAGE_Staphy_42E_NC_007052(1),PHAGE_Bacill_TsarBomba_NC_028890(1),PHAGE_Staphy_Ipla7_NC_018284(1),PHAGE_Lactoc_ul36_NC_004066(1),PHAGE_Lactob_iA2_NC_028830(1),PHAGE_Lactob_phiPYB5_NC_027982(1),PHAGE_Strept_Dp_1_NC_015274(1),PHAGE_Staphy_DW2_NC_024391(1),PHAGE_Lactob_Ld17_NC_025420(1),PHAGE_Clostr_phiCD6356_NC_015262(1),PHAGE_Entero_IME_EFm5_NC_028826(1),PHAGE_Clostr_phiCDHM11_NC_029001(1),PHAGE_Burkho_BcepMu_NC_005882(1),PHAGE_Staphy_52A_NC_007062(1),PHAGE_Salmon_vB_SemP_Emek_NC_018275(1),PHAGE_Mycoba_Minerva_NC_026584(1),PHAGE_Lister_vB_LmoS_293_NC_028929(1),PHAGE_Lactoc_bIL285_NC_002666(1),PHAGE_Bacill_phi105_NC_004167(1),PHAGE_Bacill_BCP78_NC_018860(1),PHAGE_Staphy_3MRA_NC_028917(1),PHAGE_Entero_ST104_NC_005841(1),PHAGE_Staphy_phiMR11_NC_010147(1),PHAGE_Burkho_phiE255_NC_009237(1),PHAGE_Strept_SMP_NC_008721(1),PHAGE_Bacill_250_NC_029024(1),PHAGE_Strept_7201_NC_002185(1),PHAGE_Geobac_GBSV1_NC_008376(1)",9,10%,31.00%,NC_003030.1,NA,NA,NA
1,9Kb,incomplete(50),tail,2168714-2177755,0,9,7,2,100%,0,no,4,"PHAGE_Bacill_BCD7_NC_019515(3),PHAGE_Bacill_SP_15_NC_031245(3),PHAGE_Rhizob_RR1_B_NC_021557(1),PHAGE_Ralsto_RSA1_NC_009382(1),PHAGE_Staphy_StB20_NC_019915(1),PHAGE_Pseudo_PaBG_NC_022096(1),PHAGE_Burkho_KS5_NC_015265(1),PHAGE_Staphy_StB20_like_NC_028821(1),PHAGE_Pelagi_HTVC008M_NC_020484(1),PHAGE_Vibrio_X29_NC_024369(1),PHAGE_Paenib_HB10c2_NC_028758(1),PHAGE_Lactoc_TP901_1_NC_002747(1),PHAGE_Lactoc_Tuc2009_NC_002703(1)",3,33.33%,69.03%,CP000113.1,NA,NA,NA
2,9.4Kb,incomplete(10),NA,5783799-5793249,0,8,6,1,87.5%,1,no,3,"PHAGE_Entero_phi92_NC_023693(4),PHAGE_Sphing_PAU_NC_019521(4),PHAGE_Escher_phAPEC8_NC_020079(4),PHAGE_Staphy_phiN315_NC_004740(1),PHAGE_Mycoba_Thibault_NC_023738(1),PHAGE_Mycoba_Enkosi_NC_028936(1),PHAGE_Bacill_SP_15_NC_031245(1),PHAGE_Mycoba_Redno2_NC_022066(1),PHAGE_Bacill_G_NC_023719(1),PHAGE_Synech_S_SM2_NC_015279(1),PHAGE_Synech_ACG_2014f_NC_026927(1)",4,50%,68.35%,CP000113.1,NA,NA,NA
3,7.3Kb,incomplete(10),NA,8423895-8431236,0,10,6,0,60%,4,no,6,"PHAGE_Mycoba_Troll4_NC_011285(1),PHAGE_Mycoba_PBI1_NC_008198(1),PHAGE_Strept_Dp_1_NC_015274(1),PHAGE_Mycoba_Iracema64_NC_028687(1),PHAGE_Bacill_BCD7_NC_019515(1),PHAGE_Mycoba_Wile_NC_023709(1),PHAGE_Prochl_P_TIM68_NC_028955(1),PHAGE_Mycoba_Peaches_NC_013694(1),PHAGE_Mycoba_PLot_NC_008200(1),PHAGE_Halovi_HCTV_1_NC_021330(1),PHAGE_Mycoba_Kampy_NC_024141(1),PHAGE_Mycoba_Gumball_NC_011290(1),PHAGE_Mycoba_Hawkeye_NC_024209(1),PHAGE_Mycoba_Obama12_NC_023577(1)",1,10%,69.44%,CP000113.1,NA,NA,NA
1,18Kb,incomplete(60),"tail,terminase,portal,head",1495049-1513073,0,20,19,0,95%,1,yes,9,"PHAGE_Acinet_vB_AbaS_TRS1_NC_031098(11),PHAGE_Haemop_Aaphi23_NC_004827(8),PHAGE_Mannhe_vB_MhS_587AP2_NC_028743(5),PHAGE_Mannhe_vB_MhS_535AP2_NC_028853(4),PHAGE_Aggreg_S1249_NC_013597(4),PHAGE_Klebsi_JD001_NC_020204(3),PHAGE_Psychr_pOW20_A_NC_020841(2),PHAGE_Mannhe_vB_MhM_587AP1_NC_028898(2),PHAGE_Burkho_phiE12_2_NC_009236(2),PHAGE_Mannhe_phiMHaA1_NC_008201(2),PHAGE_Erwini_phiEt88_NC_015295(1),PHAGE_Staphy_JS01_NC_021773(1),PHAGE_Iodoba_phiPLPE_NC_011142(1),PHAGE_Haemop_HP2_NC_003315(1),PHAGE_Entero_PsP3_NC_005340(1),PHAGE_Salmon_SPN3UB_NC_019545(1),PHAGE_Acinet_AP22_NC_017984(1),PHAGE_Shigel_POCJ13_NC_025434(1),PHAGE_Haemop_HP1_NC_001697(1),PHAGE_Stx2_c_86_NC_008464(1),PHAGE_Erysip_SE_1_NC_029078(1),PHAGE_Pseudo_F10_NC_007805(1),PHAGE_Edward_MSW_3_NC_020082(1),PHAGE_Edward_GF_2_NC_026611(1),PHAGE_Bacill_1_NC_009737(1),PHAGE_Escher_TL_2011c_NC_019442(1),PHAGE_Edward_PEi21_NC_021342(1),PHAGE_Xylell_Xfas53_NC_013599(1),PHAGE_Escher_phi191_NC_028660(1),PHAGE_Escher_P13374_NC_018846(1),PHAGE_Strept_SF3_NC_028952(1),PHAGE_Staphy_tp310_2_NC_009762(1),PHAGE_Staphy_3A_NC_007053(1),PHAGE_Staphy_69_NC_007048(1),PHAGE_Entero_ES18_NC_006949(1),PHAGE_Shigel_Stx_NC_029120(1)",8,55%,39.28%,L42023.1,NA,NA,NA
2,38.4Kb,intact(130),"transposase,portal,virion,protease,head,tail,plate",1558774-1597183,1,53,45,0,84.9%,8,no,6,"PHAGE_Escher_D108_NC_013594(29),PHAGE_Entero_Mu_NC_000929(29),PHAGE_Entero_SfMu_NC_027382(29),PHAGE_Vibrio_12B12_NC_021070(14),PHAGE_Mannhe_vB_MhM_3927AP2_NC_028766(9),PHAGE_Haemop_SuMu_NC_019455(9),PHAGE_Pseudo_JBD93_NC_030918(8),PHAGE_Ralsto_RS138_NC_029107(4),PHAGE_Prochl_P_SSM2_NC_006883(2),PHAGE_Pseudo_DMS3_NC_008717(2),PHAGE_Burkho_BcepMu_NC_005882(2),PHAGE_Rhizob_RR1_B_NC_021557(2),PHAGE_Salmon_118970_sal3_NC_031940(2),PHAGE_Plankt_PaV_LD_NC_016564(2),PHAGE_Salmon_ST64B_NC_004313(1),PHAGE_Rhodob_RcapMu_NC_016165(1),PHAGE_Entero_SfV_NC_003444(1),PHAGE_Burkho_KS10_NC_011216(1),PHAGE_Pseudo_MP29_NC_011613(1),PHAGE_Vibrio_VpKK5_NC_026610(1),PHAGE_Prochl_P_TIM68_NC_028955(1),PHAGE_Bacill_SPbeta_NC_001884(1),PHAGE_Synech_S_SM2_NC_015279(1),PHAGE_Bacill_G_NC_023719(1),PHAGE_Pseudo_LPB1_NC_027298(1),PHAGE_Entero_phiP27_NC_003356(1),PHAGE_Pseudo_phiCTX_NC_003278(1),PHAGE_Rhodov_RS1_NC_020866(1),PHAGE_Synech_S_CAM1_NC_020837(1),PHAGE_Entero_SfI_NC_027339(1),PHAGE_Pseudo_B3_NC_006548(1),PHAGE_Mannhe_phiMHaA1_NC_008201(1),PHAGE_Rhizob_RHEph06_NC_027296(1),PHAGE_Burkho_phiE255_NC_009237(1),PHAGE_Shigel_SfII_NC_021857(1),PHAGE_Erwini_vB_EamP_L1_NC_019510(1),PHAGE_Entero_phiEap_1_NC_028772(1)",30,54.71%,43.92%,L42023.1,NA,NA,NA
1,132.3Kb,intact(149),NA,125-132521,5,204,203,0,99.5%,1,no,1,NA,NA,NA,39.96%,NC_011421.1,PHAGE_Bacill_SPO1,203,99.5%
1,12.9Kb,incomplete(60),coat,1274892-1287828,0,19,6,3,47.3%,10,no,6,NA,NA,NA,47.71%,NC_006270.3,PHAGE_Bacill_36,1,5.2%
2,32.9Kb,intact(100),"capsid,tail",1317284-1350211,0,41,28,3,75.6%,10,no,19,NA,NA,NA,47.56%,NC_006270.3,PHAGE_Strept_1,8,19.5%
3,41.5Kb,questionable(70),"integrase,terminase,portal,capsid",1422705-1464297,0,62,44,12,90.3%,6,yes,24,NA,NA,NA,42.51%,NC_006270.3,PHAGE_Bacill_SPP1,14,22.5%
4,12.8Kb,incomplete(30),"tail,integrase",1494364-1507181,0,7,6,0,85.7%,1,yes,4,NA,NA,NA,44.55%,NC_006270.3,PHAGE_Strept_Dp_1,3,42.8%
5,15.1Kb,questionable(90),"terminase,portal,protease,capsid,head,tail",1509624-1524794,0,21,16,4,95.2%,1,no,11,NA,NA,NA,45.87%,NC_006270.3,PHAGE_Staphy_phi7401PVL,4,19%
6,30.4Kb,incomplete(40),"tail,integrase",1524435-1554925,0,14,13,0,92.8%,1,yes,9,NA,NA,NA,43.07%,NC_006270.3,PHAGE_Bacill_SPBc2,3,21.4%
7,51.1Kb,intact(130),"head,tail,capsid,protease,terminase,coat,integrase",3424524-3475646,1,56,42,8,89.2%,6,yes,21,NA,NA,NA,41.71%,NC_006270.3,PHAGE_Bacill_phi105,17,30.3%
8,17.7Kb,incomplete(30),"recombinase,protease",4173950-4191652,4,17,10,4,82.3%,3,yes,9,NA,NA,NA,43.56%,NC_006270.3,PHAGE_Feldma_virus,2,11.7%
1,18.8Kb,incomplete(30),"virion,integrase",1209742-1228599,1,7,5,0,71.4%,2,yes,4,NA,NA,NA,62.97%,AM039952.1,PHAGE_Salmon_SSU5,2,28.5%
2,21.4Kb,incomplete(40),"integrase,transposase",1908171-1929586,1,10,6,0,60%,4,yes,5,NA,NA,NA,63.86%,AM039952.1,PROPHAGE_Xantho_33913,2,20%
3,38.4Kb,intact(133),"coat,integrase,transposase",2779979-2818386,0,37,19,3,59.4%,15,yes,9,NA,NA,NA,61.77%,AM039952.1,PHAGE_Xantho_Cf1c,8,21.6%
4,17.6Kb,incomplete(30),integrase,4476724-4494346,1,9,7,1,88.8%,1,yes,6,NA,NA,NA,60.42%,AM039952.1,PHAGE_Cronob_ENT39118,2,22.2%
1,9.2Kb,incomplete(20),envelope,907711-916996,0,8,5,1,75%,2,yes,5,"PHAGE_Bacill_BtCS33_NC_018085(1),PHAGE_Paenib_PG1_NC_021558(1),PHAGE_Bacill_Waukesha92_NC_025424(1),PHAGE_Synech_S_SM2_NC_015279(1),PHAGE_Bacill_G_NC_023719(1),PHAGE_Staphy_SpaA1_NC_018277(1),PHAGE_Strept_SM1_NC_004996(1),PHAGE_Strept_phi3396_NC_009018(1),PHAGE_Strept_pyogenes_315_1_NC_004584(1),PHAGE_Bacill_phBC6A52_NC_004821(1),PHAGE_Acanth_turfacea_Chlorella_virus_1_NC_008724(1),PHAGE_Acanth_mimivirus_NC_014649(1),PHAGE_Paenib_Davies_NC_022980(1),PHAGE_Geobac_GBSV1_NC_008376(1)",1,12.5%,40.80%,CR936503.1,NA,NA,NA
1,8Kb,questionable(80),"tail,transposase",825524-833539,0,11,6,2,72.7%,3,no,4,NA,NA,NA,57.55%,CR931997.1,PHAGE_Burkho_phiE125,3,27.2%
2,8.1Kb,incomplete(50),"transposase,tail",1659706-1667845,0,9,6,2,88.8%,1,no,6,NA,NA,NA,60.37%,CR931997.1,PHAGE_Parame_NY2A,1,11.1%
1,40.9Kb,incomplete(30),integrase,2796483-2837476,0,28,13,10,82.1%,5,yes,4,"PHAGE_Flavob_1H_NC_031911(16),PHAGE_Flavob_6H_NC_021867(8),PHAGE_Riemer_RAP44_NC_019490(1),PHAGE_Phage_Gifsy_1_NC_010392(1),PHAGE_Bacter_B40_8_NC_011222(1),PHAGE_Pelagi_HTVC010P_NC_020481(1),PHAGE_Cellul_phi10:1_NC_021802(1),PHAGE_Escher_EB49_NC_023743(1),PHAGE_Achrom_83_24_NC_028834(1),PHAGE_Pseudo_PaBG_NC_022096(1),PHAGE_Vibrio_SHOU24_NC_023569(1),PHAGE_Bacter_B124_14_NC_016770(1)",6,57.14%,47.41%,CR626927.1,NA,NA,NA
1,34.3Kb,incomplete(60),"virion,head,transposase,integrase",2141901-2176212,0,36,20,11,86.1%,5,yes,14,"PHAGE_Psychr_pOW20_A_NC_020841(6),PHAGE_Vibrio_CP_T1_NC_019457(4),PHAGE_Acinet_Bphi_B1251_NC_019541(4),PHAGE_Klebsi_JD001_NC_020204(3),PHAGE_Vibrio_vB_VchM_138_NC_019518(3),PHAGE_Pectob_ZF40_NC_019522(3),PHAGE_Iodoba_phiPLPE_NC_011142(2),PHAGE_Haemop_Aaphi23_NC_004827(2),PHAGE_Marino_P12026_NC_018269(2),PHAGE_Salmon_vB_SosS_Oslo_NC_018279(2),PHAGE_Pseudo_phiPSA1_NC_024365(2),PHAGE_Xantho_vB_XveM_DIBBI_NC_017981(2),PHAGE_Burkho_phi644_2_NC_009235(2),PHAGE_Mannhe_phiMHaA1_NC_008201(2),PHAGE_Mannhe_vB_MhM_1152AP_NC_021778(2),PHAGE_Cronob_ENT47670_NC_019927(2),PHAGE_Aggreg_S1249_NC_013597(2),PHAGE_Escher_HK639_NC_016158(1),PHAGE_Aeromo_Aes012_NC_020879(1),PHAGE_Synech_S_CBS4_NC_016766(1),PHAGE_Azospi_Cd_NC_010355(1),PHAGE_Strept_pyogenes_315_1_NC_004584(1),PHAGE_Ralsto_RSL1_NC_010811(1),PHAGE_Vibrio_VBM1_NC_020850(1),PHAGE_Vibrio_VvAW1_NC_020488(1),PHAGE_Pseudo_vB_PaeP_Tr60_Ab31_NC_023575(1),PHAGE_Psychr_Psymv2_NC_023734(1),PHAGE_Acinet_YMC_13_01_C62_NC_024785(1),PHAGE_Clostr_c_st_NC_007581(1),PHAGE_Acinet_AP22_NC_017984(1),PHAGE_Vibrio_12B12_NC_021070(1),PHAGE_Ralsto_RSK1_NC_022915(1),PHAGE_Pseudo_PAJU2_NC_011373(1),PHAGE_Pseudo_F10_NC_007805(1),PHAGE_Stx2_converting_86_NC_008464(1),PHAGE_Stx2_converting_II_NC_004914(1),PHAGE_Escher_TL_2011c_NC_019442(1),PHAGE_Burkho_Bcep176_NC_007497(1),PHAGE_Edward_PEi2_NC_021342(1),PHAGE_Burkho_phiE125_NC_003309(1),PHAGE_Burkho_phi1026b_NC_005284(1),PHAGE_Edward_eiAU_183_NC_023555(1),PHAGE_Strept_TP_J34_NC_020197(1),PHAGE_Escher_P13374_NC_018846(1),PHAGE_Stx1_converting_NC_004913(1),PHAGE_Escher_ADB_2_NC_019725(1)",6,16.66%,40.35%,CR543861.1,NA,NA,NA
