header,taxon,protein,sp,description,vog,.species.name,phage.nonphage,source,source.version,acc,n_clstr,nt,perc_id_to_rep,is_rep,virus name,virus lineage,refseq id,KEGG GENOME,KEGG DISEASE,DISEASE,host tax id,host name,domain,phylum,class,order,family.etc,pmid,evidence,sample type,source organism,n.host,viral.family,protClstr,aa,perc.id_protClstr,protClstr_rep
1296655.YP_009215922.1 middle-gene-specific sigma factor [Bacillus phage JL],1296655,YP_009215922.1,Bacillus phage JL, middle-gene-specific sigma factor,VOG12686,Bacillus phage JL,phage,NCBI Refseq,209,NC_028982,3144,137918,100,TRUE,Bacillus phage JL,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Spounavirinae; Siminovitchvirus; Bacillus virus JL,NC_028982,NA,NA,NA,1396,Bacillus cereus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus cereus group,24459255,"Literature, RefSeq",NA,NA,1,Herelleviridae,41,219,100,TRUE
1296656.YP_009216142.1 hypothetical protein [Bacillus phage Shanette],1296656,YP_009216142.1,Bacillus phage Shanette, hypothetical protein,VOG12686,Bacillus phage Shanette,phage,NCBI Refseq,209,NC_028983,3154,138877,100,TRUE,Bacillus phage Shanette,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Spounavirinae; Siminovitchvirus; Bacillus virus Shanette,NC_028983,NA,NA,NA,1396,Bacillus cereus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus cereus group,24459255,"Literature, RefSeq",NA,NA,1,Herelleviridae,41,215,99.53,FALSE
1391188.YP_009099117.1 putative sigma factor [Bacillus phage CP-51],1391188,YP_009099117.1,Bacillus phage CP-51, putative sigma factor,VOG12686,Bacillus phage CP-51,phage,NCBI Refseq,209,NC_025423,3157,138658,100,TRUE,Bacillus phage CP-51,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Spounavirinae; Siminovitchvirus; Bacillus virus CP51,NC_025423,NA,NA,NA,1396,Bacillus cereus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus cereus group,NA,RefSeq,NA,NA,1,Herelleviridae,41,214,96.73,FALSE
1406783.YP_008770058.1 RNA polymerase sigma factor [Bacillus phage CampHawk],1406783,YP_008770058.1,Bacillus phage CampHawk, RNA polymerase sigma factor,VOG12686,Bacillus phage CampHawk,phage,NCBI Refseq,209,NC_022761,3125,146193,100,TRUE,Bacillus phage CampHawk,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Spounavirinae; Okubovirus; Bacillus virus Camphawk,NC_022761,NA,NA,NA,1423,Bacillus subtilis,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus subtilis group,NA,RefSeq,NA,NA,1,Herelleviridae,65,225,100,FALSE
2884427.YP_002300398.1 gp28 [Bacillus phage SPO1],2884427,YP_002300398.1,Bacillus phage SPO1, gp28,VOG12686,Bacillus phage SPO1,phage,NCBI Refseq,209,NC_011421,2396,132562,100,TRUE,Bacillus phage SPO1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Spounavirinae; Okubovirus; Bacillus virus SPO1,NC_011421,NA,NA,NA,1423,Bacillus subtilis,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus subtilis group,NA,"RefSeq, UniProt",NA,NA,1,Herelleviridae,65,225,99.56,TRUE
941058.YP_007003440.1 hypothetical protein [Bacillus phage SP-10],941058,YP_007003440.1,Bacillus phage SP-10, hypothetical protein,VOG12686,Bacillus phage SP-10,phage,NCBI Refseq,209,NC_019487,3165,143986,100,TRUE,Bacillus phage SP-10,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Spounavirinae; unclassified Spounavirinae,NC_019487,NA,NA,NA,1423,Bacillus subtilis,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus subtilis group,21597187,Literature,NA,NA,1,Herelleviridae,250,212,100,TRUE
1173745.YP_009044107.1 putative sigma factor [Listeria phage LP-026],1173745,YP_009044107.1,Listeria phage LP-026, putative sigma factor,VOG10659,Listeria phage LP-026,phage,NCBI Refseq,209,NC_024375,3905,67150,100,TRUE,Listeria phage LP-026,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Homburgvirus; Listeria virus LP26,NC_024375,NA,NA,NA,393119,Listeria monocytogenes FSL J1-208,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae; Listeria; Listeria monocytogenes,24837381,Literature,NA,NA,1,Siphoviridae,63,121,100,TRUE
1173747.YP_008240497.1 putative sigma factor [Listeria phage LP-037],1173747,YP_008240497.1,Listeria phage LP-037, putative sigma factor,VOG10659,Listeria phage LP-037,phage,NCBI Refseq,209,NC_021787,3979,64756,100,TRUE,Listeria phage LP-037,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Homburgvirus; Listeria virus LP37,NC_021787,NA,NA,NA,393119,Listeria monocytogenes FSL J1-208,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae; Listeria; Listeria monocytogenes,24837381,Literature,NA,NA,1,Siphoviridae,63,121,100,FALSE
1173748.YP_008240465.1 putative sigma factor [Listeria phage LP-110],1173748,YP_008240465.1,Listeria phage LP-110, putative sigma factor,VOG10659,Listeria phage LP-110,phage,NCBI Refseq,209,NC_021785,3889,65132,100,TRUE,Listeria phage LP-110,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Homburgvirus; Listeria virus LP110,NC_021785,NA,NA,NA,393119,Listeria monocytogenes FSL J1-208,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae; Listeria; Listeria monocytogenes,24837381,Literature,NA,NA,1,Siphoviridae,48,121,100,TRUE
1225800.YP_006905911.1 sigma factor [Listeria phage P70],1225800,YP_006905911.1,Listeria phage P70, sigma factor,VOG10659,Listeria phage P70,phage,NCBI Refseq,209,NC_018831,3904,67170,100,TRUE,Listeria phage P70,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Homburgvirus; Listeria virus P70,NC_018831,NA,NA,NA,1960103,Listeria sp.,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae; Listeria,NA,RefSeq,NA,NA,1,Siphoviridae,48,121,100,FALSE
1458857.YP_009045078.1 putative sigma factor [Listeria phage LP-114],1458857,YP_009045078.1,Listeria phage LP-114, putative sigma factor,VOG10659,Listeria phage LP-114,phage,NCBI Refseq,209,NC_024392,3927,66676,100,TRUE,Listeria phage LP-114,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Homburgvirus; Listeria virus LP114,NC_024392,NA,NA,NA,393119,Listeria monocytogenes FSL J1-208,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae; Listeria; Listeria monocytogenes,24837381,Literature,NA,NA,1,Siphoviridae,48,121,100,FALSE
1002725.YP_004414965.1 RNA polymerase sigma factor [Shigella phage Shfl2],1002725,YP_004414965.1,Shigella phage Shfl2, RNA polymerase sigma factor,VOG02363,Shigella phage Shfl2,phage,NCBI Refseq,209,NC_015457,2911,165919,100,TRUE,Shigella phage Shfl2,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus; Shigella virus Shfl2,NC_015457,NA,NA,NA,623,Shigella flexneri,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Shigella,NA,RefSeq,NA,NA,1,Myoviridae,0,185,100,FALSE
1026955.YP_004508483.1 late transcription sigma factor [Synechococcus phage S-CRM01],1026955,YP_004508483.1,Synechococcus phage S-CRM01, late transcription sigma factor,VOG02363,Synechococcus phage S-CRM01,phage,NCBI Refseq,209,NC_015569,2950,178563,100,TRUE,Synechococcus phage S-CRM01,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; unclassified Myoviridae,NC_015569,NA,NA,NA,1129,Synechococcus,Bacteria,Cyanobacteria/Melainabacteria group,Cyanobacteria,Synechococcales,Synechococcaceae,NA,NCBI Virus,NA,NA,2,Myoviridae,153,164,100,TRUE
1048189.YP_009806402.1 sigma factor for late transcription [Cyanophage S-TIM4],1048189,YP_009806402.1,Cyanophage S-TIM4, sigma factor for late transcription,VOG02363,Cyanophage S-TIM4,phage,NCBI Refseq,209,NC_048015,2946,176495,100,TRUE,Cyanophage S-TIM4,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Thaumasvirus; Synechococcus virus STIM4,NC_048015,NA,NA,NA,1131,Synechococcus sp.,Bacteria,Cyanobacteria/Melainabacteria group,Cyanobacteria,Synechococcales,Synechococcaceae; Synechococcus,NA,RefSeq,NA,NA,1,Myoviridae,74,157,100,TRUE
1049283.YP_006488835.1 sigma factor [Acinetobacter phage ZZ1],1049283,YP_006488835.1,Acinetobacter phage ZZ1, sigma factor,VOG02363,Acinetobacter phage ZZ1,phage,NCBI Refseq,209,NC_018087,2892,166687,100,TRUE,Acinetobacter phage ZZ1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Twarogvirinae; Zedzedvirus; Acinetobacter virus ZZ1,NC_018087,NA,NA,NA,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex,22838726,"Literature, RefSeq",NA,NA,1,Myoviridae,101,181,100,TRUE
1052121.YP_007004110.1 sigma factor for T4 late transcription [Escherichia phage Bp7],1052121,YP_007004110.1,Escherichia phage Bp7, sigma factor for T4 late transcription,VOG02363,Escherichia phage Bp7,phage,NCBI Refseq,209,NC_019500,2821,168066,100,TRUE,Escherichia phage Bp7,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Dhakavirus; Escherichia virus Bp7,NC_019500,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,RefSeq,NA,NA,1,Myoviridae,4,185,100,TRUE
1054480.YP_007004807.1 RNA polymerase sigma factor [Escherichia phage wV7],1054480,YP_007004807.1,Escherichia phage wV7, RNA polymerase sigma factor,VOG02363,Escherichia phage wV7,phage,NCBI Refseq,209,NC_019505,2906,166452,100,TRUE,Escherichia phage wV7,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus; unclassified Tequatrovirus,NC_019505,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,"NCBI Virus, RefSeq",NA,NA,1,Myoviridae,0,185,100,FALSE
1054834.YP_007004448.1 RNA polymerase sigma factor [Escherichia phage ime09],1054834,YP_007004448.1,Escherichia phage ime09, RNA polymerase sigma factor,VOG02363,Escherichia phage ime09,phage,NCBI Refseq,209,NC_019503,2894,166499,100,TRUE,Escherichia phage ime09,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus; Escherichia virus Ime09,NC_019503,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,RefSeq,NA,NA,1,Myoviridae,0,185,100,FALSE
10665.NP_049679.1 RNA polymerase sigma factor [Escherichia virus T4],10665,NP_049679.1,Escherichia virus T4, RNA polymerase sigma factor,VOG02363,Escherichia virus T4,phage,NCBI Refseq,209,NC_000866,2837,168903,100,TRUE,Escherichia virus T4,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus,NC_000866,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,"NCBI Virus, RefSeq, UniProt",NA,NA,1,Myoviridae,0,185,100,TRUE
10666.YP_010067218.1 RNA polymerase sigma factor [Enterobacteria phage T6],10666,YP_010067218.1,Enterobacteria phage T6, RNA polymerase sigma factor,VOG02363,Enterobacteria phage T6,phage,NCBI Refseq,209,NC_054907,2826,168697,100,TRUE,Enterobacteria phage T6,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus; Enterobacteria virus T6,NC_054907,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,UniProt,NA,NA,1,Myoviridae,0,185,100,FALSE
10692.YP_010066947.1 RNA polymerase sigma factor [Enterobacteria phage RB18],10692,YP_010066947.1,Enterobacteria phage RB18, RNA polymerase sigma factor,VOG02363,Enterobacteria phage RB18,phage,NCBI Refseq,209,NC_054906,2893,166677,100,TRUE,Enterobacteria phage RB18,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus; Enterobacteria virus RB18,NC_054906,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,"RefSeq, UniProt",NA,NA,1,Myoviridae,0,185,100,FALSE
1079998.YP_007001843.1 gp55 late sigma factor [Synechococcus phage ACG-2014c],1079998,YP_007001843.1,Synechococcus phage ACG-2014c, gp55 late sigma factor,VOG02363,Synechococcus phage ACG-2014c,phage,NCBI Refseq,209,NC_019444,3036,176043,100,TRUE,Synechococcus phage ACG-2014c,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Acionnavirus; unclassified Acionnavirus,NC_019444,NA,NA,NA,32051,Synechococcus sp. WH 7803,Bacteria,Cyanobacteria/Melainabacteria group,Cyanobacteria,Synechococcales,Synechococcaceae; Synechococcus,25043051,Literature,NA,NA,1,Myoviridae,100,86,100,TRUE
1079999.YP_007001632.1 late transcription gp55 sigma factor [Synechococcus phage metaG-MbCM1],1079999,YP_007001632.1,Synechococcus phage metaG-MbCM1, late transcription gp55 sigma factor,VOG02363,Synechococcus phage metaG-MbCM1,phage,NCBI Refseq,209,NC_019443,3056,172879,100,TRUE,Synechococcus phage metaG-MbCM1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; unclassified Myoviridae,NC_019443,NA,NA,NA,1129,Synechococcus,Bacteria,Cyanobacteria/Melainabacteria group,Cyanobacteria,Synechococcales,Synechococcaceae,NA,NCBI Virus,NA,NA,1,Myoviridae,68,146,95.21000000000001,FALSE
1080800.YP_004895268.1 T4-like sigma transcription factor [Salmonella phage SFP10],1080800,YP_004895268.1,Salmonella phage SFP10, T4-like sigma transcription factor,VOG02363,Salmonella phage SFP10,phage,NCBI Refseq,209,NC_016073,3297,157950,100,TRUE,Salmonella phage SFP10,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; Cvivirinae; Kuttervirus; Salmonella virus SFP10,NC_016073,NA,NA,NA,599,Salmonella sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Salmonella,NA,RefSeq,NA,NA,2,Ackermannviridae,1,263,100,FALSE
1087482.YP_007501096.1 RNA polymerase subunit sigma [Salmonella phage vB_SenM-S16],1087482,YP_007501096.1,Salmonella phage vB_SenM-S16, RNA polymerase subunit sigma,VOG02363,Salmonella phage vB_SenM-S16,phage,NCBI Refseq,209,NC_020416,3208,160221,100,TRUE,Salmonella phage vB_SenM-S16,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Gelderlandvirus; Salmonella virus S16,NC_020416,NA,NA,NA,28901,Salmonella enterica,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Salmonella,NA,RefSeq,NA,NA,1,Myoviridae,19,179,100,TRUE
1091052.YP_007237413.1 putative sigma factor late transcription gp55 [Dickeya virus Limestone],1091052,YP_007237413.1,Dickeya virus Limestone, putative sigma factor late transcription gp55,VOG02363,Dickeya virus Limestone,phage,NCBI Refseq,209,NC_019925,3119,152427,100,TRUE,Dickeya virus Limestone,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; Aglimvirinae; Limestonevirus,NC_019925,NA,NA,NA,1089444,Dickeya solani,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae; Dickeya,NA,"NCBI Virus, RefSeq",NA,NA,1,Ackermannviridae,15,242,95.86999999999999,FALSE
1108865.YP_007008061.1 sigma factor for late transcription [Salmonella phage Sh19],1108865,YP_007008061.1,Salmonella phage Sh19, sigma factor for late transcription,VOG02363,Salmonella phage Sh19,phage,NCBI Refseq,209,NC_019530,3301,157785,100,TRUE,Salmonella phage Sh19,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; Cvivirinae; Kuttervirus; Salmonella virus SH19,NC_019530,NA,NA,NA,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Salmonella; Salmonella enterica,NA,RefSeq,NA,NA,1,Ackermannviridae,1,264,98.86,FALSE
1129147.YP_007348689.1 sigma factor for late transcription [Klebsiella phage KP27],1129147,YP_007348689.1,Klebsiella phage KP27, sigma factor for late transcription,VOG02363,Klebsiella phage KP27,phage,NCBI Refseq,209,NC_020080,3032,174413,100,TRUE,Klebsiella phage KP27,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Slopekvirus; Klebsiella virus KP27,NC_020080,NA,NA,NA,573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Klebsiella,NA,RefSeq,NA,NA,1,Myoviridae,10,175,100,TRUE
1141136.YP_006987343.1 sigma factor for late transcription [Cronobacter phage vB_CsaM_GAP32],1141136,YP_006987343.1,Cronobacter phage vB_CsaM_GAP32, sigma factor for late transcription,VOG02363,Cronobacter phage vB_CsaM_GAP32,phage,NCBI Refseq,209,NC_019401,1438,358663,100,TRUE,Cronobacter phage vB_CsaM_GAP32,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Mimasvirus; Cronobacter virus GAP32,NC_019401,NA,NA,NA,28141,Cronobacter sakazakii,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Cronobacter,NA,RefSeq,NA,NA,1,Myoviridae,180,286,100,TRUE
1141138.YP_006986326.1 sigma factor for late transcription [Cronobacter phage vB_CsaM_GAP161],1141138,YP_006986326.1,Cronobacter phage vB_CsaM_GAP161, sigma factor for late transcription,VOG02363,Cronobacter phage vB_CsaM_GAP161,phage,NCBI Refseq,209,NC_019398,2948,178193,100,TRUE,Cronobacter phage vB_CsaM_GAP161,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Pseudotevenvirus; Cronobacter virus GAP161,NC_019398,NA,NA,NA,28141,Cronobacter sakazakii,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Cronobacter,NA,RefSeq,NA,NA,1,Myoviridae,6,171,100,TRUE
